No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,16,10uF,"C1,C9,C10,C11,C12,C15,C18,C23,C42,C44,C51,C53,C56,C59,C65,C66",C0603,10uF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC
2,16,100nF,"C2,C3,C4,C5,C14,C16,C17,C19,C21,C24,C25,C26,C29,C31,C34,C41",C0402,100nF,CL05B104KO5NNNC,SAMSUNG(三星),C1525,LCSC
3,3,1uF,"C6,C8,C55",C0603,1uF,CL10B105KA8NNNC,SAMSUNG(三星),C29936,LCSC
4,3,10uF,"C7,C47,C63",C0805,10uF,CL21A106KAYNNNE,SAMSUNG(三星),C15850,LCSC
5,10,100nF,"C13,C43,C45,C46,C50,C52,C54,C57,C58,C60",C0603,100nF,CL10B104KB8NNNC,SAMSUNG(三星),C1591,LCSC
6,2,4.7uF,"C20,C36",C0603,4.7uF,CL10A475KQ8NNNC,SAMSUNG(三星),C8032,LCSC
7,2,10nF,"C22,C32",C0402,10nF,CL05B103KB5NNNC,SAMSUNG(三星),C15195,LCSC
8,3,22uF,"C27,C48,C49",C0805,22uF,CL21A226MQQNNNE,SAMSUNG(三星),C5674,LCSC
9,4,1uF,"C28,C30,C33,C35",C0402,1uF,CL05A105KA5NQNC,SAMSUNG(三星),C52923,LCSC
10,4,22pF,"C37,C38,C39,C40",C0402,22pF,0402CG220J500NT,FH(风华),C1555,LCSC
11,1,220nF,C61,C0603,220nF,CL10B224KB8NNNC,SAMSUNG(三星),C64705,LCSC
12,1,4.7uF,C62,C1206,4.7uF,12065C475K4Z2A,Kyocera AVX,C779997,LCSC
13,1,10nF,C64,C0603,10nF,0603B103K500NT,FH(风华),C57112,LCSC
14,1,USBLC6-2SC6,D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,USBLC6-2SC6,ST(意法半导体),C7519,LCSC
15,3,B5819W,"D2,D3,D11",SOD-123_L2.7-W1.7-LS3.8-RD,,B5819W,晶导微电子,C2685454,LCSC
16,1,D-060306G1/SS2/G1,D4,LED0603-RD,,D-060306G1/SS2/G1,ARKLED(方舟),C118334,LCSC
17,6,BSDFN2C031U,"D5,D6,D7,D8,D9,D10",DFN1006-2L-BI,,BSDFN2C031U,BORN(伯恩半导体),C600818,LCSC
18,10,JNJ-L-3528CW-85020D-S-J2,"D12,D13,D14,D15,D16,D17,D18,D19,D20,D21",LED-SMD_L3.5-W2.8-L-FD,,JNJ-L-3528CW-85020D-S-J2,JNJOPTO(强生光电),C22447917,LCSC
19,1,TYPE-C-31-M-12,J1,USB-C_SMD-TYPE-C-31-M-12_1,,TYPE-C-31-M-12,韩国韩荣,C165948,LCSC
20,3,B2B-PH-K-S(LF)(SN),"J2,J3,J5",CONN-TH_B2B-PH-K-S,,B2B-PH-K-S(LF)(SN),JST,C131337,LCSC
21,1,1-1734248-5,J4,CONN-SMD_1-1734248-5,,1-1734248-5,TE Connectivity(泰科电子),C2922285,LCSC
22,1,TF-01A,J6,TF-SMD_TF-01A,,TF-01A,韩国韩荣,C91145,LCSC
23,1,6GHz,J8,RF-SMD_FRF05002-JSS103M,6GHz,U.FL-R-SMT-1(80),HRS(广濑),C88374,LCSC
24,1,PZ254V-11-02P,JP1,HDR-TH_2P-P2.54-V-M,,PZ254V-11-02P,XFCN(兴飞),C492401,LCSC
25,2,2.2uH,"L1,L2",L0806,2.2uH,DFE201612E-2R2M=P2,muRata(村田),C337893,LCSC
26,1,CKCSA4020-1.5uH/N,L3,IND-SMD_L4.0-W4.0,,CKCSA4020-1.5uH/N,CENKER(岑科),C5442006,LCSC
27,1,CY54-10UH,L4,IND-SMD_L5.8-W5.2,,CY54-10UH,SHOU HAN(首韩),C2929431,LCSC
28,1,SI2301CDS-T1-GE3,Q1,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,,SI2301CDS-T1-GE3,VISHAY(威世),C10487,LCSC
29,1,2N7002,Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,2N7002,CJ(江苏长电/长晶),C8545,LCSC
30,1,ALS-PT19-315C/L177/TR8,Q3,SENSORS-SMD_ALS-PT19,,ALS-PT19-315C/L177/TR8,EVERLIGHT(亿光),C146233,LCSC
31,2,5.1kΩ,"R1,R2",R0603,5.1kΩ,0603WAF5101T5E,UNI-ROYAL(厚声),C23186,LCSC
32,24,10kΩ,"R3,R4,R7,R8,R9,R15,R16,R32,R46,R47,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74",R0603,10kΩ,0603WAF1002T5E,UNI-ROYAL(厚声),C25804,LCSC
33,1,18kΩ,R5,R0603,18kΩ,0603WAF1802T5E,UNI-ROYAL(厚声),C25810,LCSC
34,3,1kΩ,"R6,R21,R56",R0603,1kΩ,0603WAF1001T5E,UNI-ROYAL(厚声),C21190,LCSC
35,1,267kΩ,R10,R0603,267kΩ,0603WAF2673T5E,UNI-ROYAL(厚声),C22963,LCSC
36,13,100kΩ,"R11,R12,R13,R14,R17,R33,R34,R35,R36,R37,R38,R39,R45",R0603,100kΩ,0603WAF1003T5E,UNI-ROYAL(厚声),C25803,LCSC
37,2,33Ω,"R18,R19",R0603,33Ω,0603WAF330JT5E,UNI-ROYAL(厚声),C23140,LCSC
38,1,4.02kΩ,R20,R0603,4.02kΩ,RMC06034.02K1%N,Tyohm(幸亚电阻),C269496,LCSC
39,7,100Ω,"R24,R25,R26,R27,R28,R29,R54",R0603,100Ω,0603WAF1000T5E,UNI-ROYAL(厚声),C22775,LCSC
40,2,2.2kΩ,"R30,R31",R0603,2.2kΩ,0603WAF2201T5E,UNI-ROYAL(厚声),C4190,LCSC
41,11,51kΩ,"R40,R41,R42,R43,R44,R48,R49,R50,R51,R52,R53",R0603,51kΩ,0603WAF5102T5E,UNI-ROYAL(厚声),C23196,LCSC
42,1,1.33Ω,R55,R0805,1.33Ω,RTT051R33FTP,RALEC(旺诠),C158243,LCSC
43,3,22Ω,"R57,R58,R59",R0603,22Ω,0603WAF220JT5E,UNI-ROYAL(厚声),C23345,LCSC
