Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
C1,CL10A106KP8NNNC,C0603,19.2mm,-8.4mm,19.2mm,-8.4mm,18.5mm,-8.4mm,2,T,0,Yes,10uF,10uF
C6,CL10B105KA8NNNC,C0603,-31.68mm,-25.455mm,-31.68mm,-25.455mm,-31.68mm,-24.755mm,2,T,270,Yes,1uF,1uF
C7,CL21A106KAYNNNE_C15850,C0805,-11.454mm,-21.183mm,-11.454mm,-21.183mm,-12.454mm,-21.183mm,2,T,0,Yes,10uF,10uF
C8,CL10B105KA8NNNC,C0603,-26mm,-22.135mm,-26mm,-22.135mm,-26.7mm,-22.135mm,2,T,0,Yes,1uF,1uF
C9,CL10A106KP8NNNC,C0603,-28.9mm,-25.035mm,-28.9mm,-25.035mm,-28.9mm,-24.335mm,2,T,270,Yes,10uF,10uF
C10,CL10A106KP8NNNC,C0603,-8.454mm,-23.683mm,-8.454mm,-23.683mm,-8.454mm,-22.983mm,2,T,270,Yes,10uF,10uF
C11,CL10A106KP8NNNC,C0603,-11.814mm,2.336mm,-11.814mm,2.336mm,-11.814mm,3.036mm,2,T,270,Yes,10uF,10uF
C12,CL10A106KP8NNNC,C0603,-22.686mm,30.164mm,-22.686mm,30.164mm,-22.686mm,29.464mm,2,T,90,Yes,10uF,10uF
C13,CL10B104KB8NNNC,C0603,-37.674mm,-6.304mm,-37.674mm,-6.304mm,-36.974mm,-6.304mm,2,T,180,Yes,100nF,100nF
C15,CL10A106KP8NNNC,C0603,19.2mm,-6.4mm,19.2mm,-6.4mm,18.5mm,-6.4mm,2,T,0,Yes,10uF,10uF
C18,CL10A106KP8NNNC,C0603,-3.3mm,-14.2mm,-3.3mm,-14.2mm,-2.6mm,-14.2mm,2,T,180,Yes,10uF,10uF
C20,CL10A475KQ8NNNC,C0603,2.3mm,-1.6mm,2.3mm,-1.6mm,2.3mm,-2.3mm,2,T,90,Yes,4.7uF,4.7uF
C23,CL10A106KP8NNNC,C0603,15mm,-3.9mm,15mm,-3.9mm,14.3mm,-3.9mm,2,T,0,Yes,10uF,10uF
C27,CL21A226MQQNNNE,C0805,5.6mm,-23.3mm,5.6mm,-23.3mm,6.6mm,-23.3mm,2,T,180,Yes,22uF,22uF
